product,region,units
P-KESTREL,north,836
P-KESTREL,south,657
P-KESTREL,east,170
P-KESTREL,west,647
P-KESTREL,central,960
P-MERLIN,north,265
P-MERLIN,south,761
P-MERLIN,east,891
P-MERLIN,west,77
P-MERLIN,central,819
P-OSPREY,north,578
P-OSPREY,south,92
P-OSPREY,east,947
P-OSPREY,west,95
P-OSPREY,central,581
P-HARRIER,north,434
P-HARRIER,south,607
P-HARRIER,east,223
P-HARRIER,west,621
P-HARRIER,central,652
P-KITE,north,565
P-KITE,south,929
P-KITE,east,157
P-KITE,west,651
P-KITE,central,763
P-SHRIKE,north,937
P-SHRIKE,south,350
P-SHRIKE,east,32
P-SHRIKE,west,74
P-SHRIKE,central,976
