product,region,units
P-KESTREL,north,306
P-KESTREL,south,161
P-KESTREL,east,126
P-KESTREL,west,322
P-KESTREL,central,285
P-MERLIN,north,139
P-MERLIN,south,440
P-MERLIN,east,303
P-MERLIN,west,139
P-MERLIN,central,872
P-OSPREY,north,950
P-OSPREY,south,665
P-OSPREY,east,340
P-OSPREY,west,841
P-OSPREY,central,393
P-HARRIER,north,287
P-HARRIER,south,420
P-HARRIER,east,498
P-HARRIER,west,90
P-HARRIER,central,605
P-KITE,north,785
P-KITE,south,487
P-KITE,east,422
P-KITE,west,898
P-KITE,central,270
P-SHRIKE,north,819
P-SHRIKE,south,663
P-SHRIKE,east,324
P-SHRIKE,west,399
P-SHRIKE,central,261
