product,region,units
P-KESTREL,north,370
P-KESTREL,south,304
P-KESTREL,east,195
P-KESTREL,west,524
P-KESTREL,central,956
P-MERLIN,north,232
P-MERLIN,south,242
P-MERLIN,east,123
P-MERLIN,west,611
P-MERLIN,central,719
P-OSPREY,north,759
P-OSPREY,south,430
P-OSPREY,east,452
P-OSPREY,west,886
P-OSPREY,central,935
P-HARRIER,north,636
P-HARRIER,south,119
P-HARRIER,east,37
P-HARRIER,west,422
P-HARRIER,central,682
P-KITE,north,709
P-KITE,south,342
P-KITE,east,301
P-KITE,west,452
P-KITE,central,547
P-SHRIKE,north,138
P-SHRIKE,south,820
P-SHRIKE,east,475
P-SHRIKE,west,243
P-SHRIKE,central,708
