product,region,units
P-KESTREL,north,520
P-KESTREL,south,974
P-KESTREL,east,413
P-KESTREL,west,13
P-KESTREL,central,989
P-MERLIN,north,454
P-MERLIN,south,56
P-MERLIN,east,175
P-MERLIN,west,728
P-MERLIN,central,14
P-OSPREY,north,797
P-OSPREY,south,416
P-OSPREY,east,328
P-OSPREY,west,909
P-OSPREY,central,567
P-HARRIER,north,658
P-HARRIER,south,312
P-HARRIER,east,231
P-HARRIER,west,923
P-HARRIER,central,653
P-KITE,north,900
P-KITE,south,724
P-KITE,east,388
P-KITE,west,227
P-KITE,central,894
P-SHRIKE,north,165
P-SHRIKE,south,451
P-SHRIKE,east,159
P-SHRIKE,west,267
P-SHRIKE,central,439
