product,region,units
P-KESTREL,north,430
P-KESTREL,south,103
P-KESTREL,east,867
P-KESTREL,west,642
P-KESTREL,central,473
P-MERLIN,north,754
P-MERLIN,south,167
P-MERLIN,east,340
P-MERLIN,west,385
P-MERLIN,central,601
P-OSPREY,north,164
P-OSPREY,south,292
P-OSPREY,east,531
P-OSPREY,west,69
P-OSPREY,central,613
P-HARRIER,north,555
P-HARRIER,south,266
P-HARRIER,east,549
P-HARRIER,west,721
P-HARRIER,central,922
P-KITE,north,917
P-KITE,south,110
P-KITE,east,891
P-KITE,west,385
P-KITE,central,778
P-SHRIKE,north,363
P-SHRIKE,south,189
P-SHRIKE,east,540
P-SHRIKE,west,364
P-SHRIKE,central,550
