product,region,units
P-KESTREL,north,133
P-KESTREL,south,249
P-KESTREL,east,83
P-KESTREL,west,929
P-KESTREL,central,625
P-MERLIN,north,217
P-MERLIN,south,197
P-MERLIN,east,232
P-MERLIN,west,882
P-MERLIN,central,824
P-OSPREY,north,358
P-OSPREY,south,257
P-OSPREY,east,478
P-OSPREY,west,45
P-OSPREY,central,671
P-HARRIER,north,145
P-HARRIER,south,339
P-HARRIER,east,664
P-HARRIER,west,546
P-HARRIER,central,874
P-KITE,north,160
P-KITE,south,922
P-KITE,east,881
P-KITE,west,222
P-KITE,central,632
P-SHRIKE,north,671
P-SHRIKE,south,636
P-SHRIKE,east,772
P-SHRIKE,west,717
P-SHRIKE,central,106
