product,region,units
P-KESTREL,north,306
P-KESTREL,south,287
P-KESTREL,east,928
P-KESTREL,west,567
P-KESTREL,central,658
P-MERLIN,north,803
P-MERLIN,south,78
P-MERLIN,east,497
P-MERLIN,west,706
P-MERLIN,central,626
P-OSPREY,north,265
P-OSPREY,south,345
P-OSPREY,east,483
P-OSPREY,west,104
P-OSPREY,central,527
P-HARRIER,north,44
P-HARRIER,south,706
P-HARRIER,east,670
P-HARRIER,west,690
P-HARRIER,central,917
P-KITE,north,201
P-KITE,south,634
P-KITE,east,732
P-KITE,west,275
P-KITE,central,553
P-SHRIKE,north,325
P-SHRIKE,south,564
P-SHRIKE,east,974
P-SHRIKE,west,951
P-SHRIKE,central,360
