product,region,units
P-KESTREL,north,81
P-KESTREL,south,994
P-KESTREL,east,97
P-KESTREL,west,303
P-KESTREL,central,736
P-MERLIN,north,60
P-MERLIN,south,908
P-MERLIN,east,381
P-MERLIN,west,201
P-MERLIN,central,488
P-OSPREY,north,63
P-OSPREY,south,47
P-OSPREY,east,842
P-OSPREY,west,941
P-OSPREY,central,165
P-HARRIER,north,860
P-HARRIER,south,874
P-HARRIER,east,962
P-HARRIER,west,110
P-HARRIER,central,647
P-KITE,north,355
P-KITE,south,565
P-KITE,east,625
P-KITE,west,740
P-KITE,central,885
P-SHRIKE,north,89
P-SHRIKE,south,33
P-SHRIKE,east,190
P-SHRIKE,west,597
P-SHRIKE,central,783
